Website_Name,Category,Country,Launch_Year,Monthly_Visitors,User_Name,Login_Time,Comment,Feedback,Rating
website_1.com,News,Germany,2001,705498,judith88,2/11/2024 0:01,Physical foreign bag next up respond right hundred player thus data.,Neutral,4
website_2.com,Entertainment,Germany,2020,340271,peggyyates,4/10/2024 22:59,Anyone report unit seven accept along radio without woman rather performance particularly physical.,Positive,5
website_3.com,Social Media,Canada,2004,430135,nlambert,5/2/2024 7:46,Sound station service finally election political bit pattern no various.,Neutral,5
website_4.com,Education,Australia,2001,475788,johnsonchristine,1/17/2024 6:43,Present while any pretty wish give road cultural.,Negative,1
website_5.com,Social Media,Germany,2000,939241,ssherman,5/4/2024 4:59,Better yeah way various phone game born.,Neutral,2
website_6.com,Entertainment,Canada,2004,878335,hdavis,8/6/2024 16:06,Congress career media drug person break because threat hour consumer.,Positive,2
website_7.com,Healthcare,USA,2008,159950,tara12,7/28/2024 11:00,Oil than should give happen same answer.,Positive,5
website_8.com,Entertainment,Germany,2013,565498,wphillips,1/15/2024 20:00,World language foreign politics anyone room mention father.,Positive,3
website_9.com,News,UK,2014,607945,dhenson,5/18/2024 13:15,Discover lot care here interest strategy up never popular card crime whether.,Positive,4
website_10.com,Education,USA,2022,557570,evelyn61,4/2/2024 22:21,Floor national policy now tend role reflect himself effect I economic well service.,Negative,3
website_11.com,Education,USA,2006,953153,valdezcynthia,2/26/2024 23:00,Truth evidence lead heart style around light.,Positive,4
website_12.com,Entertainment,USA,2004,403250,michaelpage,9/18/2024 20:09,Piece common so collection peace everything store foot collection until grow mother while.,Negative,3
website_13.com,Entertainment,Pakistan,2013,540549,mosskimberly,2/12/2024 21:46,Range perhaps picture fund team well production.,Positive,3
website_14.com,Education,Canada,2014,557206,cameronsavage,10/21/2024 5:35,City how something bank behind thing might agreement.,Negative,4
website_15.com,Healthcare,USA,2016,448716,daniel68,9/29/2024 3:42,Fly traditional get forward white ability show challenge recent mission.,Negative,2
website_16.com,News,Australia,2014,387894,fisherbrittany,9/13/2024 10:50,Control interview trip building of pattern throughout property.,Negative,5
website_17.com,Healthcare,USA,2003,375816,yvega,1/10/2024 15:45,Final read agreement would possible expert teacher artist environment that hear.,Neutral,3
website_18.com,Social Media,Australia,2013,69610,christiancruz,8/24/2024 10:41,Citizen appear move present one reality.,Negative,2
website_19.com,News,UK,2004,560443,bbarnes,8/11/2024 19:55,Use help peace feeling two amount style method record present meeting either many.,Positive,1
website_20.com,Entertainment,Australia,2012,405934,angela61,1/29/2024 16:05,Its modern part sell theory manage line result control.,Negative,1
website_21.com,Education,Australia,2011,706923,teresalong,2/16/2024 5:40,Different per up late raise understand perform important operation.,Negative,2
website_22.com,Education,UK,2007,981049,thomasjohnson,5/20/2024 4:43,Lawyer outside her myself former ground respond good.,Negative,3
website_23.com,E-commerce,Pakistan,2019,364914,thompsonjason,9/5/2024 3:11,Early assume voice player another firm approach.,Negative,3
website_24.com,News,Germany,2013,329300,donna44,1/7/2024 11:22,Machine throughout budget must its sort help money news.,Positive,4
website_25.com,E-commerce,Pakistan,2018,507533,sheilaandrews,1/17/2024 22:29,Crime fill property big Mrs movement ball threat ok dark sense store pattern.,Positive,1
website_26.com,Social Media,Australia,2020,879789,jcarson,1/16/2024 4:02,Most while loss cold under live he effect can.,Neutral,3
website_27.com,News,Canada,2014,692296,tcox,9/8/2024 6:26,Her first level pick thus majority condition against any social.,Neutral,3
website_28.com,Education,USA,2018,598550,tthomas,7/4/2024 12:27,Attorney according might relate fast vote who career water inside reality country.,Negative,5
website_29.com,Healthcare,Pakistan,2005,189670,josephhubbard,5/17/2024 3:29,Arrive walk material including partner voice dinner ability.,Positive,3
website_30.com,News,Australia,2022,519429,jacksondavid,2/8/2024 19:46,Understand dream up perform sister senior listen source meeting since find investment.,Neutral,2
website_31.com,Healthcare,UK,2022,219573,courtney86,4/10/2024 4:05,Among performance before range move travel bad others training.,Positive,4
website_32.com,Education,Australia,2017,855409,rturner,10/18/2024 0:26,Begin team difference job mind seek.,Positive,3
website_33.com,Entertainment,Pakistan,2011,816308,vancebilly,2/14/2024 8:11,Next letter music among suffer on on prove.,Neutral,5
website_34.com,Healthcare,Germany,2005,559298,crystal90,3/1/2024 9:19,Chance watch rather step put score pressure continue get teacher improve democratic.,Negative,5
website_35.com,Social Media,USA,2013,55197,john73,10/10/2024 20:42,Key realize cover subject cultural media field pay great media year market.,Neutral,1
website_36.com,E-commerce,Pakistan,2010,680234,anitawilliams,3/24/2024 5:37,Candidate yard set safe best somebody.,Neutral,5
website_37.com,Entertainment,Pakistan,2019,149539,jessicahorne,3/9/2024 5:36,Deal section throughout charge today determine you cover large someone cold green bring.,Neutral,1
website_38.com,E-commerce,USA,2008,777070,lori48,3/17/2024 7:51,New sing foot describe turn fear particularly skin majority civil west fund.,Neutral,5
